SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(5,56)-(5,71)",1.5356009441802598e-05,3,32,19,1,2,31,0
"(5,60)-(5,71)",0.013202296395320445,3,35,1,4,10,12,0
"(5,61)-(5,68)",5.890862464497104e-07,2,1,14,33,29,10,0
"(8,3)-(12,17)",24.28424507379532,9,8,2,37,3,30,0
"(8,22)-(11,60)",0.0067685839894693345,26,8,33,42,2,9,0
"(8,24)-(11,60)",1.5706814321392315e-09,42,26,9,8,1,33,0
"(9,5)-(11,60)",0.0017305663277511485,8,2,1,30,33,11,0
"(10,10)-(10,15)",11.263401061296463,1,10,2,29,17,26,0
"(11,10)-(11,20)",8.262067245634608e-10,10,2,1,35,26,9,0
"(11,10)-(11,60)",0.003194782038917765,3,28,13,21,19,14,50
"(11,21)-(11,60)",0.09473689715377986,46,1,3,8,27,14,0
"(11,22)-(11,47)",0.04126960120629519,3,14,2,33,28,21,0
"(11,23)-(11,30)",3.910404888785024e-07,1,2,33,10,14,17,0
"(11,48)-(11,59)",34.99778509140015,7,32,1,2,3,19,0
"(11,49)-(11,54)",44.82160806655884,10,2,1,26,9,12,0
"(12,3)-(12,13)",5.381870948895084e-07,10,2,33,1,9,34,0
"(12,3)-(12,17)",12.20589354634285,9,8,3,1,14,25,0
