SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,14)-(3,15)",34.262314438819885,33,2,8,1,10,9,0
"(3,14)-(3,17)",6.417530030012131,6,2,43,9,8,1,0
"(4,52)-(4,58)",5.822953674794462e-07,1,9,2,10,12,33,0
"(4,52)-(4,65)",0.2582443878054619,9,3,14,33,30,2,0
"(4,59)-(4,65)",7.420243832712003e-05,2,12,1,9,30,8,0
"(4,60)-(4,61)",8.984586596488953,1,2,9,4,12,8,0
"(6,22)-(6,28)",1.1274311342233381e-13,1,29,2,9,33,10,0
"(6,22)-(6,57)",66.82848930358887,8,4,23,2,9,3,0
"(6,29)-(6,57)",97.981858253479,12,8,2,3,1,11,8
"(6,45)-(6,56)",2.96883833073025e-06,8,33,1,2,3,14,0
"(6,46)-(6,52)",99.97977614402771,2,1,33,8,4,9,0
