SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(11,19)-(11,44)",0.014505880244541913,33,2,1,26,8,3,0
"(11,28)-(11,44)",0.0008118752703012433,9,25,14,1,3,2,0
"(13,17)-(13,29)",2.1636503352850944e-10,33,1,2,8,3,26,0
"(13,21)-(13,29)",6.77378977798071e-05,19,31,1,9,7,13,0
"(13,28)-(13,29)",28.751787543296814,34,9,1,30,19,2,0
"(15,18)-(15,68)",40.324604511260986,33,26,2,1,42,17,0
"(15,39)-(15,68)",0.011828170681837946,23,33,9,3,14,1,0
"(17,17)-(17,40)",0.014505880244541913,33,2,1,26,8,3,0
"(17,26)-(17,40)",0.1182283740490675,31,1,10,9,3,19,0
"(22,3)-(29,57)",41.506218910217285,8,9,37,40,41,12,0
"(25,16)-(25,19)",2.784760486443383e-10,34,9,1,2,10,33,0
"(25,16)-(25,45)",0.004869447366218083,9,3,19,23,14,1,0
"(25,20)-(25,45)",1.3459925396475114e-07,25,9,14,1,2,19,0
"(25,27)-(25,44)",4.959604889154434,3,9,2,14,4,35,0
"(25,28)-(25,32)",2.3599846521449308e-07,1,9,12,2,34,10,0
"(25,33)-(25,43)",0.016650886391289532,9,12,2,1,34,4,0
"(26,18)-(26,29)",8.918611911212793e-05,9,2,1,12,34,10,0
"(26,18)-(26,39)",85.68353056907654,22,23,1,9,3,2,19
"(26,30)-(26,39)",77.26770043373108,9,34,4,1,2,12,0
"(26,31)-(26,35)",3.4616854196513336e-11,9,34,1,33,2,10,0
"(26,36)-(26,38)",96.2955117225647,12,49,1,15,9,2,0
"(27,24)-(27,36)",8.918611911212793e-05,9,2,1,12,34,10,0
"(27,24)-(27,59)",21.183715760707855,19,6,3,23,35,22,22
"(27,38)-(27,47)",5.509280143201067e-06,9,1,12,34,40,2,0
"(27,39)-(27,43)",1.3946999664027994e-14,1,29,2,9,33,34,0
"(27,44)-(27,46)",71.88851833343506,12,15,16,1,9,11,0
"(27,49)-(27,58)",5.509280143201067e-06,9,1,12,34,40,2,0
"(27,50)-(27,54)",1.394694407749083e-14,1,29,2,9,33,34,0
"(27,55)-(27,57)",71.88851833343506,12,15,16,1,9,11,0
"(28,22)-(28,32)",8.918611911212793e-05,9,2,1,12,34,10,0
"(28,22)-(28,55)",21.183715760707855,19,6,3,23,35,22,23
"(28,34)-(28,43)",5.509280143201067e-06,9,1,12,34,40,2,0
"(28,35)-(28,39)",1.3946999664027994e-14,1,29,2,9,33,34,0
"(28,40)-(28,42)",71.88851833343506,12,15,16,1,9,11,0
"(28,45)-(28,54)",5.509280143201067e-06,9,1,12,34,40,2,0
"(28,46)-(28,50)",1.3946999664027994e-14,1,29,2,9,33,34,0
"(28,51)-(28,53)",71.88851833343506,12,15,16,1,9,11,0
"(29,29)-(29,40)",8.918611911212793e-05,9,2,1,12,34,10,0
"(29,29)-(29,57)",79.89614605903625,3,23,6,22,19,35,0
