SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(4,20)-(10,69)",1.8957376900913259e-10,8,37,3,9,22,40,0
"(4,22)-(10,69)",3.093832969761762e-11,8,9,37,22,1,38,0
"(5,3)-(10,69)",8.756745017990397e-06,1,8,9,11,40,41,0
"(6,11)-(6,13)",0.0010045553608506452,4,21,7,35,10,1,0
"(8,7)-(10,69)",3.8817517459392548,18,49,15,9,12,13,0
"(9,15)-(9,20)",20.93256413936615,27,5,19,2,21,7,32
"(10,15)-(10,68)",0.005300997872836888,3,22,21,13,28,14,3
"(10,31)-(10,32)",2.51333297353891e-17,1,2,10,35,3,14,0
"(10,33)-(10,68)",0.014200076111592352,36,3,14,37,15,30,0
"(10,51)-(10,67)",74.76958632469177,3,24,14,2,35,40,0
"(10,52)-(10,62)",5.890862464497104e-07,2,1,14,33,29,10,0
