SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,15)-(2,78)",9.944501519203186,8,9,2,3,4,33,0
"(2,21)-(2,32)",0.0003250040435887058,33,17,1,26,2,8,0
"(2,23)-(2,32)",63.9847993850708,17,1,26,33,2,10,0
"(2,25)-(2,32)",55.43149709701538,17,1,26,2,10,33,2
"(2,29)-(2,30)",1.245645064045398e-14,1,10,2,9,19,33,0
"(2,29)-(2,32)",70.94649076461792,26,17,2,1,10,3,0
"(2,31)-(2,32)",3.8711568672855634e-10,2,1,10,19,9,7,0
"(2,54)-(2,68)",5.822953674794462e-07,1,9,2,10,12,33,0
"(2,54)-(2,78)",2.604294940829277,9,14,2,1,33,3,0
"(2,69)-(2,70)",11.263401061296463,1,10,2,29,17,26,0
