SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(5,16)-(5,32)",0.0002163547151212697,35,1,4,3,10,21,0
"(5,17)-(5,28)",3.3189026613783534e-10,1,2,29,10,4,7,0
"(5,29)-(5,31)",32.269954681396484,1,2,7,29,4,10,0
"(7,36)-(7,38)",76.85203552246094,2,4,1,6,14,7,0
"(7,36)-(7,61)",96.44882082939148,15,37,3,14,8,2,15
"(7,39)-(7,40)",5.822953674794462e-07,1,9,2,10,12,33,0
"(7,41)-(7,61)",92.65628457069397,3,14,15,9,37,2,0
"(7,48)-(7,49)",5.822953674794462e-07,1,9,2,10,12,33,0
"(7,50)-(7,60)",94.91974115371704,6,14,1,2,4,18,0
"(7,55)-(7,56)",0.17826103139668703,1,2,4,9,33,20,0
"(7,57)-(7,59)",4.926698693452636e-06,2,29,1,14,12,9,0
"(8,41)-(8,51)",99.77733492851257,4,6,2,1,35,14,0
"(8,41)-(8,66)",96.44882082939148,15,37,3,14,8,2,15
"(8,46)-(8,47)",0.5492248106747866,1,2,4,29,33,7,0
"(8,52)-(8,53)",5.822953674794462e-07,1,9,2,10,12,33,0
"(8,54)-(8,66)",5.1824770867824554,9,2,3,14,1,33,0
"(8,61)-(8,62)",5.822953674794462e-07,1,9,2,10,12,33,0
"(8,63)-(8,65)",0.0030292527299025096,1,4,6,2,14,15,0
