SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(9,20)-(12,43)",2.710353889140602e-18,26,22,8,9,40,13,0
"(10,3)-(12,43)",4.180217838545275e-08,26,9,8,21,1,13,0
"(10,9)-(11,73)",0.0192256280570291,26,2,33,8,13,9,0
"(11,66)-(11,67)",45.72531878948212,29,21,2,10,43,7,0
"(11,66)-(11,73)",47.94553220272064,14,21,43,27,13,25,0
"(11,68)-(11,69)",3.068330300948219e-06,29,2,10,1,32,33,0
"(12,3)-(12,43)",6.489548087120056,26,17,10,1,30,2,0
"(12,20)-(12,34)",11.263401061296463,1,10,2,29,17,26,0
"(12,20)-(12,43)",78.82158756256104,17,26,35,1,3,10,0
"(12,35)-(12,36)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(14,12)-(34,68)",2.28667457695213e-21,13,22,37,40,8,12,0
"(14,15)-(34,68)",3.5181285937103777e-31,13,22,37,40,8,9,0
"(15,3)-(34,68)",4.364774668541745e-12,13,40,12,22,8,37,0
"(31,3)-(31,13)",11.263401061296463,1,10,2,29,17,26,0
"(31,3)-(34,68)",5.065817276772577e-05,26,11,1,8,9,22,0
"(37,25)-(37,31)",5.381870948895084e-07,10,2,33,1,9,34,0
"(37,25)-(37,56)",72.27483987808228,3,28,14,27,19,13,14
"(37,50)-(37,55)",50.910526514053345,35,1,3,10,4,2,0
"(37,51)-(37,52)",3.561776329954821e-29,35,4,10,21,1,7,0
