SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(19,5)-(22,52)",47.75703847408295,21,9,3,14,8,13,0
"(19,11)-(19,22)",1.4151400625601277e-14,3,1,2,14,17,33,0
"(19,13)-(19,22)",17.23385900259018,1,33,2,17,26,3,0
"(19,17)-(19,18)",44.23443675041199,29,7,1,21,2,3,0
"(19,17)-(19,22)",91.67544841766357,20,11,1,44,16,10,11
"(21,5)-(22,52)",0.000152272275499854,14,3,2,13,28,21,0
"(21,16)-(21,28)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(21,16)-(21,34)",57.349127531051636,43,3,1,2,30,45,3
"(22,19)-(22,33)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(22,19)-(22,45)",2.2933926433324814,2,3,36,5,6,30,0
"(22,34)-(22,35)",5.361519672783706e-12,1,29,10,32,2,35,0
"(22,41)-(22,45)",0.026013609021902084,1,29,3,32,2,43,0
