SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(16,3)-(28,69)",0.5884007550776005,37,13,40,41,22,8,0
"(19,27)-(19,44)",4.959604889154434,3,9,2,14,4,35,0
"(19,28)-(19,32)",2.3599846521449308e-07,1,9,12,2,34,10,0
"(19,33)-(19,43)",6.432780423892837e-05,12,9,2,1,4,15,0
"(28,32)-(28,41)",77.29029655456543,2,9,4,1,35,12,0
"(28,33)-(28,37)",2.3599846521449308e-07,1,9,12,2,34,10,0
"(28,38)-(28,40)",96.2955117225647,12,49,1,15,9,2,12
"(28,45)-(28,54)",77.29029655456543,2,9,4,1,35,12,0
"(28,46)-(28,50)",2.3599846521449308e-07,1,9,12,2,34,10,0
"(28,51)-(28,53)",96.2955117225647,12,49,1,15,9,2,12
"(28,59)-(28,68)",77.29029655456543,2,9,4,1,35,12,0
"(28,60)-(28,64)",2.3599846521449308e-07,1,9,12,2,34,10,0
"(28,65)-(28,67)",96.2955117225647,12,49,1,15,9,2,12
