SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(14,3)-(14,69)",32.78747200965881,8,1,3,4,2,14,0
"(14,39)-(14,40)",0.01026966783683747,1,4,2,24,9,7,0
"(14,39)-(14,44)",2.1674463439314007e-10,2,5,16,1,40,3,0
"(14,43)-(14,44)",92.0138955116272,1,7,4,2,16,5,0
"(14,50)-(14,60)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(14,50)-(14,62)",32.218581438064575,43,5,27,13,21,1,0
"(14,61)-(14,62)",12.445085495710373,29,3,1,43,21,14,0
"(17,3)-(31,35)",0.004315563273848966,13,37,12,8,40,9,0
"(17,12)-(30,52)",1.3379072013827866e-14,13,37,40,12,9,41,0
"(18,5)-(30,52)",1.1178662617794544e-05,13,41,37,21,3,9,0
"(18,11)-(27,24)",8.666587895640983e-17,13,40,22,8,12,37,0
"(22,7)-(27,24)",42.07225739955902,41,37,15,12,13,20,0
"(22,28)-(22,29)",0.09463779861107469,15,12,1,49,18,6,0
"(25,18)-(25,43)",50.009334087371826,14,27,2,1,3,6,0
"(25,19)-(25,25)",51.79629325866699,29,1,2,4,3,21,0
"(25,26)-(25,27)",1.0813002715437392e-07,1,2,29,33,4,32,0
"(25,28)-(25,42)",0.0026456005798536353,1,14,6,2,3,32,0
"(25,29)-(25,41)",0.00255588092841208,2,6,12,1,4,9,1
"(28,5)-(30,52)",0.0005959383543086005,36,30,13,14,12,3,0
"(29,5)-(30,52)",0.0030391287509701215,3,14,13,21,2,12,0
"(30,5)-(30,52)",54.74957823753357,30,2,3,1,14,13,0
"(30,19)-(30,33)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(30,19)-(30,45)",2.2933922708034515,2,3,36,5,6,30,0
"(30,34)-(30,35)",3.3329030202366994e-06,1,43,2,29,27,33,0
"(30,49)-(30,52)",12.445085495710373,29,3,1,43,21,14,0
"(31,3)-(31,13)",5.381870948895084e-07,10,2,33,1,9,34,0
"(31,3)-(31,35)",7.7520012855529785,28,14,3,19,27,1,0
"(31,14)-(31,35)",20.502738654613495,27,43,19,13,14,3,0
"(31,15)-(31,18)",2.7594459361149305e-13,29,1,3,2,32,33,0
