SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(19,5)-(33,52)",1.5849794010591722e-05,13,41,21,37,3,9,0
"(19,11)-(30,28)",1.878017033314528e-17,13,40,37,22,12,8,0
"(20,7)-(30,28)",70.341956615448,11,13,1,40,8,41,36
"(20,13)-(20,14)",28.26184332370758,2,29,21,7,1,14,0
"(23,45)-(23,64)",71.79562449455261,2,14,13,7,3,1,0
"(23,63)-(23,64)",18.648625910282135,27,43,28,1,2,3,0
"(33,5)-(33,52)",54.74957823753357,30,2,3,1,14,13,2
"(33,19)-(33,33)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(33,19)-(33,45)",2.2933926433324814,2,3,36,5,6,30,0
"(33,34)-(33,35)",2.7594459361149305e-13,29,1,3,2,32,33,0
