SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,17)-(4,69)",3.4208670258522034,26,33,42,8,2,9,0
"(3,3)-(4,69)",9.655973315238953,8,2,9,3,33,14,0
"(3,13)-(3,14)",34.262314438819885,33,2,8,1,10,9,0
"(3,13)-(3,16)",6.417530030012131,6,2,43,9,8,1,0
"(3,15)-(3,16)",88.32655549049377,2,14,10,24,1,9,0
"(4,3)-(4,69)",7.160744071006775,3,8,2,1,14,24,0
"(4,9)-(4,12)",60.078805685043335,16,5,12,15,2,10,0
"(4,43)-(4,49)",5.890862464497104e-07,2,1,14,33,29,10,0
"(4,43)-(4,56)",78.15430760383606,3,35,14,2,24,21,0
"(4,50)-(4,56)",2.1816904186011676e-09,2,14,12,1,9,4,0
"(4,54)-(4,55)",1.4088148247992649e-05,14,2,24,1,25,9,0
"(7,3)-(7,66)",12.096799910068512,8,9,2,3,4,30,0
"(7,12)-(7,46)",9.242094165529124e-05,33,26,2,42,19,1,0
"(7,16)-(7,46)",2.030814925946256e-09,15,16,37,8,47,11,0
"(7,40)-(7,46)",0.000299449516205641,2,8,20,12,1,49,0
"(7,41)-(7,42)",0.8937722072005272,7,21,3,4,1,19,1
"(7,44)-(7,45)",0.005772256190539338,24,29,2,1,7,3,0
"(7,50)-(7,56)",5.381870948895084e-07,10,2,33,1,9,34,0
"(7,50)-(7,66)",18.10583472251892,8,9,3,14,6,1,0
"(7,57)-(7,66)",21.133065223693848,2,1,8,12,3,33,0
"(7,58)-(7,62)",8.984588086605072,1,2,9,4,12,8,0
