SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(44,3)-(56,42)",0.016390843666158617,13,37,8,12,9,40,0
"(44,9)-(52,44)",2.040375149557399e-15,13,9,40,37,12,26,0
"(45,5)-(52,44)",21.483658254146576,11,12,20,1,40,41,0
"(45,11)-(45,12)",51.69728994369507,49,15,12,2,16,18,0
"(48,12)-(48,21)",3.3130980597873005e-09,1,4,2,3,24,7,0
"(48,19)-(48,20)",86.78327798843384,1,4,6,10,31,9,0
"(55,3)-(56,42)",13.543188571929932,15,37,3,2,14,8,0
"(55,17)-(55,31)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(55,17)-(55,43)",2.2933926433324814,2,3,36,5,6,30,0
"(55,32)-(55,33)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(56,4)-(56,12)",5.361519672783706e-12,1,29,10,32,2,35,0
"(56,4)-(56,35)",30.49863576889038,50,3,24,2,22,27,24
"(56,34)-(56,35)",0.22062936332076788,29,2,1,9,21,14,0
