SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(17,5)-(19,69)",45.08523643016815,21,3,9,13,14,41,0
"(17,11)-(17,76)",1.2301263119240957e-06,26,2,33,17,1,30,0
"(17,13)-(17,76)",5.872923480865211e-07,26,42,9,8,33,1,0
"(17,17)-(17,76)",98.26552867889404,18,1,16,20,15,49,36
"(17,57)-(17,76)",87.29032278060913,18,1,16,8,15,11,0
"(17,61)-(17,75)",65.27209281921387,3,14,7,24,1,2,0
"(17,73)-(17,74)",29.31765615940094,2,1,4,27,22,43,0
"(19,36)-(19,50)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(19,36)-(19,62)",2.2933926433324814,2,3,36,5,6,30,0
"(19,51)-(19,52)",3.3328969806234454e-06,1,43,2,29,27,33,0
