SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(15,10)-(15,27)",4.100612471802378e-06,1,19,2,23,9,33,0
"(21,20)-(21,45)",1.3459925396475114e-07,25,9,14,1,2,19,0
"(21,27)-(21,44)",4.959604889154434,3,9,2,14,4,35,0
"(21,28)-(21,32)",2.3599846521449308e-07,1,9,12,2,34,10,0
"(22,18)-(22,21)",8.918611911212793e-05,9,2,1,12,34,10,0
"(22,18)-(22,46)",21.819595992565155,6,19,23,3,22,38,0
"(22,22)-(22,46)",99.99476671218872,25,14,9,3,2,19,25
"(22,23)-(22,25)",3.069348863959931e-06,9,1,4,12,2,34,0
"(22,28)-(22,45)",9.95847472040623e-05,3,9,4,12,35,15,0
"(22,29)-(22,33)",2.1833727985406153e-16,1,10,2,9,35,4,0
"(23,24)-(23,63)",2.1270055161615176e-09,28,3,38,15,40,7,0
"(23,25)-(23,42)",0.0011414842447265983,3,35,9,14,4,15,0
"(23,26)-(23,30)",5.890862464497104e-07,2,1,14,33,29,10,0
"(23,45)-(23,62)",0.0011414842447265983,3,35,9,14,4,15,0
"(23,46)-(23,50)",5.890862464497104e-07,2,1,14,33,29,10,0
