SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,15)-(2,78)",9.561129659414291,8,9,2,3,33,4,0
"(2,21)-(2,32)",0.00031228403258865,33,17,1,26,2,3,0
"(2,23)-(2,32)",55.43149709701538,17,1,26,2,10,33,0
"(2,25)-(2,32)",48.37023615837097,26,10,1,2,17,35,1
"(2,27)-(2,32)",67.2239899635315,17,10,2,3,1,26,0
"(2,36)-(2,78)",0.05336978938430548,2,3,8,1,14,19,0
"(2,45)-(2,50)",65.8373475074768,10,2,1,17,26,4,0
"(2,49)-(2,50)",89.81738686561584,10,35,4,1,17,26,0
"(2,54)-(2,68)",5.822953674794462e-07,1,9,2,10,12,33,0
"(2,54)-(2,78)",2.604295313358307,9,14,2,1,33,3,0
"(2,69)-(2,70)",11.263401061296463,1,10,2,29,17,26,0
"(2,71)-(2,75)",11.263401061296463,1,10,2,29,17,26,0
