SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,15)-(2,73)",10.88324785232544,8,2,3,33,9,14,0
"(2,21)-(2,29)",2.5651162915757073e-12,1,10,3,2,26,29,0
"(2,23)-(2,29)",1.053149442653556e-08,10,26,2,1,35,17,0
"(2,27)-(2,29)",99.99991655349731,31,1,17,26,10,2,2
"(2,33)-(2,73)",0.0005329543910193024,2,3,8,1,14,9,0
"(2,44)-(2,45)",99.994957447052,35,7,21,5,10,16,10
"(2,49)-(2,63)",5.822953674794462e-07,1,9,2,10,12,33,0
"(2,49)-(2,73)",2.604294940829277,9,14,2,1,33,3,0
"(2,64)-(2,65)",5.890862464497104e-07,2,1,14,33,29,10,0
"(2,66)-(2,70)",12.445085495710373,29,3,1,43,21,14,0
"(2,71)-(2,73)",53.88001799583435,2,1,14,29,33,10,0
